sequence,score,reps
seq_0095.npy,85,4
seq_0096.npy,88,7
seq_0097.npy,95,7
seq_0098.npy,97,6
seq_0099.npy,98,4
seq_0100.npy,85,5
seq_0101.npy,82,4
seq_0102.npy,86,4
seq_0103.npy,90,5
seq_0104.npy,96,6
seq_0105.npy,87,7
seq_0106.npy,95,7
seq_0107.npy,96,7
seq_0108.npy,93,7
seq_0109.npy,91,5
seq_0110.npy,88,5
seq_0111.npy,84,5
seq_0112.npy,82,5
seq_0113.npy,93,7
seq_0114.npy,93,4
seq_0115.npy,96,5
seq_0116.npy,88,7
seq_0117.npy,88,5
seq_0118.npy,96,5
seq_0119.npy,87,6
seq_0120.npy,94,5
seq_0121.npy,88,7
seq_0122.npy,96,5
seq_0123.npy,93,7
seq_0124.npy,90,7
seq_0125.npy,93,5
seq_0126.npy,85,5
seq_0127.npy,94,6
seq_0128.npy,86,5
seq_0129.npy,82,5
seq_0130.npy,94,7
seq_0131.npy,86,4
seq_0132.npy,96,7
seq_0133.npy,89,4
seq_0134.npy,94,6
seq_0135.npy,89,5
seq_0136.npy,90,7
seq_0137.npy,93,7
seq_0138.npy,92,5
seq_0139.npy,85,5
seq_0140.npy,91,5
seq_0141.npy,98,4
seq_0142.npy,89,4
seq_0143.npy,84,4
seq_0144.npy,94,6
seq_0145.npy,90,7
seq_0146.npy,91,7
seq_0147.npy,89,4
seq_0148.npy,87,6
seq_0149.npy,91,4
seq_0150.npy,53,5
seq_0151.npy,54,6
seq_0152.npy,55,7
seq_0153.npy,69,6
seq_0154.npy,72,5
seq_0155.npy,63,7
seq_0156.npy,75,6
seq_0157.npy,55,5
seq_0158.npy,56,6
seq_0159.npy,54,5
seq_0160.npy,75,7
seq_0161.npy,63,6
seq_0162.npy,70,7
seq_0163.npy,66,5
seq_0164.npy,65,4
seq_0165.npy,72,4
seq_0166.npy,67,7
seq_0167.npy,74,7
seq_0168.npy,61,5
seq_0169.npy,73,6
seq_0170.npy,59,5
seq_0171.npy,73,7
seq_0172.npy,66,4
seq_0173.npy,61,5
seq_0174.npy,68,4
seq_0175.npy,68,6
seq_0176.npy,60,7
seq_0177.npy,60,5
seq_0178.npy,69,7
seq_0179.npy,69,4
seq_0180.npy,68,6
seq_0181.npy,64,5
seq_0182.npy,68,7
seq_0183.npy,62,6
seq_0184.npy,76,6
seq_0185.npy,71,6
seq_0186.npy,73,4
seq_0187.npy,64,5
seq_0188.npy,73,6
seq_0189.npy,53,4
seq_0190.npy,61,7
seq_0191.npy,64,5
seq_0192.npy,66,7
seq_0193.npy,61,6
seq_0194.npy,66,7
seq_0195.npy,60,4
seq_0196.npy,63,5
seq_0197.npy,60,4
seq_0198.npy,71,4
seq_0199.npy,64,5
seq_0200.npy,53,7
seq_0201.npy,64,7
seq_0202.npy,53,6
seq_0203.npy,67,5
seq_0204.npy,59,4
seq_0205.npy,61,5
seq_0206.npy,77,4
seq_0207.npy,57,7
seq_0208.npy,72,4
seq_0209.npy,65,7
seq_0210.npy,62,4
seq_0211.npy,68,5
seq_0212.npy,74,4
seq_0213.npy,53,4
seq_0214.npy,65,7
seq_0215.npy,63,4
seq_0216.npy,60,5
seq_0217.npy,64,7
seq_0218.npy,52,4
seq_0219.npy,69,6
seq_0220.npy,68,4
seq_0221.npy,78,5
seq_0222.npy,54,5
seq_0223.npy,72,7
seq_0224.npy,73,7
seq_0225.npy,66,4
seq_0226.npy,67,5
seq_0227.npy,60,4
seq_0228.npy,70,4
seq_0229.npy,70,6
seq_0230.npy,69,7
seq_0231.npy,58,4
seq_0232.npy,59,5
seq_0233.npy,66,7
seq_0234.npy,70,6
seq_0235.npy,61,5
seq_0236.npy,77,7
seq_0237.npy,64,7
seq_0238.npy,59,4
seq_0239.npy,54,5
seq_0240.npy,72,6
seq_0241.npy,58,6
seq_0242.npy,73,5
seq_0243.npy,56,7
seq_0244.npy,61,4
seq_0245.npy,57,6
seq_0246.npy,76,4
seq_0247.npy,59,6
seq_0248.npy,57,6
seq_0249.npy,67,6
seq_0250.npy,61,5
seq_0251.npy,59,4
seq_0252.npy,75,5
seq_0253.npy,75,4
seq_0254.npy,62,4
seq_0255.npy,74,5
seq_0256.npy,52,5
seq_0257.npy,69,4
seq_0258.npy,61,4
seq_0259.npy,73,6
seq_0260.npy,55,5
seq_0261.npy,66,6
seq_0262.npy,59,7
seq_0263.npy,62,7
seq_0264.npy,67,5
seq_0265.npy,66,4
seq_0266.npy,70,5
seq_0267.npy,71,6
seq_0268.npy,52,6
seq_0269.npy,61,6
seq_0270.npy,73,4
seq_0271.npy,56,7
seq_0272.npy,66,6
seq_0273.npy,72,5
seq_0274.npy,70,5
seq_0275.npy,52,6
seq_0276.npy,55,4
seq_0277.npy,62,5
seq_0278.npy,54,4
seq_0279.npy,54,4
seq_0280.npy,56,5
seq_0281.npy,75,4
seq_0282.npy,62,4
seq_0283.npy,62,4
seq_0284.npy,66,5
seq_0285.npy,65,7
seq_0286.npy,77,6
seq_0287.npy,74,6
seq_0288.npy,62,4
seq_0289.npy,76,5
seq_0290.npy,76,6
seq_0291.npy,73,4
seq_0292.npy,74,6
seq_0293.npy,75,4
seq_0294.npy,69,7
seq_0295.npy,58,6
seq_0296.npy,69,5
seq_0297.npy,61,7
seq_0298.npy,66,7
seq_0299.npy,73,6
seq_0300.npy,33,7
seq_0301.npy,25,4
seq_0302.npy,20,4
seq_0303.npy,21,7
seq_0304.npy,35,6
seq_0305.npy,29,7
seq_0306.npy,41,6
seq_0307.npy,47,7
seq_0308.npy,42,7
seq_0309.npy,25,6
seq_0310.npy,38,5
seq_0311.npy,39,5
seq_0312.npy,23,7
seq_0313.npy,46,6
seq_0314.npy,48,7
seq_0315.npy,26,6
seq_0316.npy,44,5
seq_0317.npy,45,4
seq_0318.npy,30,5
seq_0319.npy,44,5
seq_0320.npy,43,4
seq_0321.npy,29,6
seq_0322.npy,30,4
seq_0323.npy,43,7
seq_0324.npy,24,6
seq_0325.npy,24,4
seq_0326.npy,45,4
seq_0327.npy,39,5
seq_0328.npy,24,5
seq_0329.npy,42,5
seq_0330.npy,21,7
seq_0331.npy,43,6
seq_0332.npy,47,7
seq_0333.npy,31,7
seq_0334.npy,38,5
seq_0335.npy,37,5
seq_0336.npy,44,4
seq_0337.npy,40,6
seq_0338.npy,22,7
seq_0339.npy,48,6
seq_0340.npy,34,6
seq_0341.npy,35,7
seq_0342.npy,34,5
seq_0343.npy,45,6
seq_0344.npy,47,6
seq_0345.npy,20,7
seq_0346.npy,27,6
seq_0347.npy,38,7
seq_0348.npy,45,7
seq_0349.npy,35,6
seq_0350.npy,35,6
seq_0351.npy,24,7
seq_0352.npy,38,7
seq_0353.npy,42,6
seq_0354.npy,34,4
seq_0355.npy,22,5
seq_0356.npy,44,7
seq_0357.npy,30,4
seq_0358.npy,22,7
seq_0359.npy,37,7
seq_0360.npy,31,7
seq_0361.npy,33,5
seq_0362.npy,31,5
seq_0363.npy,37,5
seq_0364.npy,35,7
seq_0365.npy,40,6
seq_0366.npy,48,5
seq_0367.npy,32,6
seq_0368.npy,45,7
seq_0369.npy,38,7
seq_0370.npy,40,7
seq_0371.npy,24,6
seq_0372.npy,44,5
seq_0373.npy,34,4
seq_0374.npy,36,5
seq_0375.npy,27,6
seq_0376.npy,26,7
seq_0377.npy,30,5
seq_0378.npy,24,4
seq_0379.npy,29,6
seq_0380.npy,26,4
seq_0381.npy,33,7
seq_0382.npy,31,7
seq_0383.npy,45,4
seq_0384.npy,24,4
seq_0385.npy,26,5
seq_0386.npy,24,4
seq_0387.npy,48,5
seq_0388.npy,27,4
seq_0389.npy,44,4
seq_0390.npy,34,4
seq_0391.npy,23,5
seq_0392.npy,33,5
seq_0393.npy,35,7
seq_0394.npy,48,4
seq_0395.npy,31,4
seq_0396.npy,39,5
seq_0397.npy,36,7
seq_0398.npy,30,7
seq_0399.npy,26,7
seq_0400.npy,20,4
seq_0401.npy,33,6
seq_0402.npy,36,7
seq_0403.npy,36,5
seq_0404.npy,27,6
seq_0405.npy,34,7
seq_0406.npy,40,4
seq_0407.npy,38,4
seq_0408.npy,33,6
seq_0409.npy,38,4
seq_0410.npy,41,6
seq_0411.npy,25,7
seq_0412.npy,36,6
seq_0413.npy,41,5
seq_0414.npy,24,5
seq_0415.npy,23,5
seq_0416.npy,45,5
seq_0417.npy,34,5
seq_0418.npy,25,7
seq_0419.npy,29,5
seq_0420.npy,27,6
seq_0421.npy,36,4
seq_0422.npy,36,7
seq_0423.npy,32,5
seq_0424.npy,20,5
seq_0425.npy,24,7
seq_0426.npy,35,5
seq_0427.npy,23,6
seq_0428.npy,40,6
seq_0429.npy,42,6
seq_0430.npy,37,7
seq_0431.npy,38,6
seq_0432.npy,44,5
seq_0433.npy,25,7
seq_0434.npy,44,7
seq_0435.npy,23,6
seq_0436.npy,39,7
seq_0437.npy,22,7
seq_0438.npy,39,4
seq_0439.npy,48,7
seq_0440.npy,39,5
seq_0441.npy,29,6
seq_0442.npy,43,6
seq_0443.npy,28,7
seq_0444.npy,42,6
seq_0445.npy,31,7
seq_0446.npy,38,7
seq_0447.npy,44,7
seq_0448.npy,40,7
seq_0449.npy,36,6
